Title,JobDescription,JobRequirment,RequiredQual,IT
Chief Financial Officer,"AMERIA Investment Consulting Company is seeking a
Chief Financial Officer. This position manages the company's fiscal and
administrative functions, provides highly responsible and technically
complex staff assistance to the Executive Director. The work performed
requires a high level of technical proficiency in financial management
and investment management, as well as management, supervisory, and
administrative skills.","- Supervises financial management and administrative staff, including
assigning responsibilities, reviewing employees' work processes and
products, counseling employees, giving performance evaluations, and
recommending disciplinary action;
- Serves as member of management team participating in both strategic
and operational planning for the company;
- Directs and oversees the company's financial management activities,
including establishing and monitoring internal controls, managing cash
and investments, and managing the investment portfolio in collaboration
with the Investment team leader. This includes, but is not limited to,
evaluation of investment risk, concentration risk, fund deployment
levels, adequacy of loss and liquidity reserves Assists investment team
in development of proper documentation and internal systems;
- Directs and oversees the annual budgeting process, including
developing projections for financial planning, and preparing budgets;
- Prepares external and internal financial management reports, such as
audited financial statements, tax returns, and reports for the board of
directors and company staff;
- Develops, implements, and maintains efficient and effective accounting
systems and controls to ensure compliance with national and
international accounting standards and principles, sufficiency of fund
accounting, and comprehensiveness of data for reporting and compliance
requirements;
- Ensures contract compliance, including interpreting and monitoring
contracts with clients, submitting required reports, and monitoring
covenants and other contract terms;
- Oversees the design, implementation and maintenance of computer-based
information system. Oversees records retention (both manual and
computer-based) and file maintenance activities;
- Serves as company's risk manager, including evaluating loss exposure
and obtaining insurance as appropriate;
- Manages other administrative operations, such as facilities
management, payroll administration, office operations, and
administrative support;
- Monitors corporate compliance with by-laws and articles of
incorporation regarding corporate registration and reporting of
fundraising operations.","To perform this job successfully, an
individual must be able to perform each essential duty satisfactorily.
The requirements listed below are representative of the knowledge,
skill, and/or ability required.
Knowledge of:
- Generally accepted accounting principles;
- Local accounting standards and legislation;
- State reporting requirements pertaining to accounting;
- Principles and practices of financial management and budgeting;
- Principles and practices of financial systems design and analysis;
- Principles and practices of contract management, records management,
and risk management;
- Principles and practices of management and supervision;
- Principles and practices of information systems management.
Ability to:
- Apply sound fiscal and administrative practices to the company's
activities;
- Plan, organize and supervise the work of subordinate employees,
including training them, assigning and evaluating their work, and
providing job performance feedback;
- Critically analyze fiscal and administrative policies, practices,
procedures, and systems, and recommend and implement changes as needed;
- Gather and synthesize financial information from a variety of sources
and present it to a variety of audiences with differing financial
management and analysis expertise;
- Prepare detailed, comprehensive financial reports, including
explanatory text;
- Operate IBM-compatible personal computer, including word processing,
spreadsheet, and database software applications;
- Operate specialized software applications that support the financial
management and budgeting functions.
Qualifications:
- A minimum of 5-7 years Accounting/ Corporate Finance/ Banking
experience, including a role as a CFO;
- Excellent finance and accounting technical skills coupled with a
demonstrated knowledge of all key financial functions in an consulting
company context - accounting, finance, control, treasury, reserving, and
reporting;
- Strong financial planning and analytical skills and experience and the
ability to work closely with and support the CEO and other executives in
strategic development and implementation;
- Excellent leadership, management and supervisory track record of
attracting, selecting, developing, rewarding and retaining high-caliber,
accounting and finance executive and teams who achieve business goals;
- An undergraduate degree in finance, business, or other related
discipline is required. A CPA, CFA, ACCA or other financial
certification is highly preferred, as is a Masters degree in Business
Administration, Accounting or Finance;
- Fluency in English, Armenian and Russian with outstanding writing
skills;
- Excellent analytical, communication, teamwork, interpersonal skills;
- Need to be well organized and detail-oriented as well as goal/ result
driven and able to deal with complex issues.",False
Full-time Community Connections Intern (paid internship),,,"- Bachelor's Degree; Master's is preferred;
- Excellent skills in spoken and written English and Armenian languages;
- Past English to Armenian translation and Armenian to English
translation experience;
- Good communication and public speaking skills;
- Ability to work independently and as part of a team.
REMUNERATION:  Commensurate with experience.",False
Country Coordinator,"Public outreach and strengthening of a growing
network of environmental NGOs, businesses, international organizations
and public agencies. Will serve as primary contact between CENN and
public. This is a full-time position.","- Working with the Country Director to provide environmental information
to the general public via regular electronic communications and serving
as the primary local contact to Armenian NGOs and businesses and the
Armenian offices of international organizations and agencies;
- Helping to organize and prepare CENN seminars/ workshops;
- Participating in defining the strategy and policy of CENN in Armenia,
the Caucasus region and abroad.","- Degree in environmentally related field, or 5 years relevant
experience;
- Oral and written fluency in Armenian, Russian and English;
- Knowledge/ experience of working with environmental issues specific to
Armenia is a plus.
REMUNERATION:  Salary commensurate with experience.",False
BCC Specialist,"The LEAD (Local Enhancement and Development for
Health) BCC Specialist will apply state-of-the-art approaches in working
with LGUs (Local Government Units) and NGOs to help them to identify and
address provider-caused barriers to service provision as well as to
identify and address supports for good service delivery by developing
tools that may be adapted to each LGU's needs. S/he will work with LEAD
staff across all components to support quality service delivery and will
also monitor implementation of improved service delivery in LGUs, and
will provide additional assistance to LGUs and NGOs, as needed. S/he
will collect all relevant published and grey literature documents,
identify gaps in knowledge, and work with NGOs and consultants to fill
in the gaps. S/he will establish training for NGOs and LGU
administration staff pursuing service enhancement and provider behavior
change and will oversee the training. S/he will serve as the Project's
primary liaison to TSAP and other projects and organizations working in
behavior change.","- Identify gaps in knowledge and overseeing information collection to
fill them;
- Consolidate partnerships with center of excellence of technical
support, working with local NGOs/COs, LCEs, and LGUs;
- Work with LEAD team to develop assessment tools for LGUs to identify
barriers and supports to quality service provision;
- Assist LGUs and NGOs to design and implement multifaceted (if
necessary), systematic interventions, based on assessment results, to
enhance quality service provision, especially through provider behavior
change. For example, ensure that not only providers, but their
supervisors are trained and that monitoring and supervisory systems
promote provider change, quality services, and sustainability of change;
- Assist other LEAD specialists and units to enhance the quality of
services, especially through BCC and provider behavior change, and
assure that programs serve community needs;
- Oversee and, when practical, co-facilitate behavior change training
activities and proposal development and coordinate these activities, as
needed, with other project components and counterpart agencies;
- Participate in developing programs to address common barriers (e.g.,
strengthen service providers' interpersonal communication skills through
on-the-job training and use of innovative training approaches based on
TSAP-FP and other projects' approaches);
- Provide training to local groups in developing programs in community
mobilization and advocacy to participate in health planning process; 
- Develop monitoring and evaluation systems for client-centered quality
care/ provider behavior change;
- Reinforce inter-organization collaboration and coordination of BCC
interventions to improve the overall quality of interventions;
- Serve as primary LEAD liaison with BCC agencies, projects, and
consultants.","- Advanced degree in public health, social science, or communication or
related experience;
- Familiarity with Behavior-centered Programming SM preferred;
- At least five years experience in the design, implementation, and
monitoring/evaluation of behavior change programs in the developing
world, preferably including Philippines;
- Experience with behavior change in reproductive health and/or family
planning programs;
- Excellent communication, coordination, and facilitation skills;
- Experience with PC-based software, including word processing and basic
spreadsheet analysis;
- Knowledge of a language of the Philippines, or willingness to learn;
- High level of written and spoken English fluency.",False
Software Developer,,"- Rendering technical assistance to Database Management Systems;
- Realization of SQL servers maintenance activities: back-up and
replication;
- Participation in designing of software development projects.","- University degree; economical background is a plus;
- Excellent knowledge of Windows 2000 Server, Networking TCP/ IP
technologies, MS SQL 2000 Server, Visual Basic 6;
- At least 2 years of experience in database software development;
- Good knowledge of English.
REMUNERATION:  Will be commensurate with the norms accepted in the
Company.",True
Saleswoman,Saleswoman will sell menswear and accessories.,,"- Candidates should be female, 20-30 years old;
- Nice-looking exterior; 
- Excellent communication skills;
- Fluency in Armenian and Russian;  
- Good knowledge of English (oral).
REMUNERATION:  Starting salary - 40,000 AMD.",False
Chief Accountant/ Finance Assistant,"The Armenian Branch Office of the Open Society
Institute Assistance Foundation is seeking applications for the position
of Chief Accountant/ Finance Assistant. The Chief Accountant/ Finance
Assistant will be responsible for all transactions, connected with grant
payments, administrative expenses.",,"- University degree in finance/ accounting; 
- One year minimum experience in an international organization; 
- Strong organizational skills; 
- Good knowledge of software programs: MS Excel and MS Access; 
- Good knowledge of IAS, Armenian taxation laws, reporting requirements
and current reforms; 
- Discretion and ability to handle confidential issues; 
- Self-motivation with an ability to set and meet goals; 
- Quick learning skills; 
- Fluency in English, Armenian and Russian.",False
Non-paid part or full time Programmatic Intern,,,,False
Assistant to Managing Director,,"- Coordinating the work of subordinate employees;
- Maintaining liaison with the other subdivisions within the Company;
- Managing correspondence flow;
- Realizing written and verbal translations;
- Organizing meetings and conferences; compiling minutes of meetings;
- Drawing reports;
- Operating office equipment.","- University degree;
- At least 3 years of experience in the relevant field;
- Mastership of the office work and competency of business ethics;
- Excellent working knowledge of written and verbal Armenian, Russian
and English; knowledge of French is a plus;
- Knowledge of MS Office;
- Strong problem-solving and organizational skills; outstanding
interpersonal skills.  
REMUNERATION:  Will be commensurate with the norms accepted in the
Company",False
"Program Assistant (INL), FSN-8; FP-6*","The incumbent assists in coordinating INL-funded law
enforcement and drug control programs in Armenia (including training
programs supported and implemented by US Agencies) to avoid duplication
of effort with other programs and to ensure that assistance from various
USG agencies is complementary. Additionally, assists on coordinating US
mission activities in the crime and narcotics area with other donors
like the United Nations, Non Governmental organizations and other
international donors.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61",,"NOTE: All applicants are instructed to
address each selection criterion detailed below with specific and
comprehensive information supporting each criteria.
- University degree in a relevant field (Law, Law Enforcement, Political
Science, Public Administration) or its equivalent is required;
- Two years of progressively responsible experience in program
administration and logistical support is required;
- Level IV proficiency in English and Armenian;
- Thorough knowledge of Armenian Criminal Justice System, legislative
process, and structure and operations of law enforcement agencies
required;
- Sound management, analytical and organizational skills. 
SELECTION PROCESS:   When equally qualified, Eligible Family Members and
U.S. Veterans will be given preference. Therefore, it is essential that
all candidates address the required qualifications above in the
application. 
ADDITIONAL SELECTION CRITERIA: 
1. Management will consider nepotism/ conflict of interest, budget, and
visa status in determining successful candidacy.
2. Current employees serving a probationary period are not eligible to
apply.
3. Currently employed AEFMs who hold a FMA appointment are ineligible to
apply for advertised positions within the first 90 calendar days of
their employment.  
REMUNERATION:  *Not-Ordinarily Resident: Grade: FP-06 to be confirmed by
Washington
*Ordinarily Resident: Position Grade: FSN-8",False
